,$\Theta$,structure,const,delu_CO,delu_O,bulk,#
0,0.0,Pd(100),0.095,0.0,0.0,Pd,0
1,0.25,$p(2x2)-O^{hol}$,-0.1816495507060334,0.0,-0.06418485237483953,PdO,1
2,0.5,$c(2x2)-O^{hol}$,-0.236206675224647,0.0,-0.12836970474967907,PdO,2
3,0.25,$p(2x2)-CO^{br}$,-0.2182349165596919,-0.06418485237483953,0.0,PdO,3
4,0.5,$c(2x2)-O^{br}$,-0.34146983311938384,-0.12836970474967907,0.0,PdO,4
5,0.5,$(2\sqrt{2}x\sqrt{2})R45^o-CO^{br}$,-0.34146983311938384,-0.12836970474967907,0.0,PdO,5
6,0.67,$(3\sqrt{2}x\sqrt{2})R45^o-CO^{br}$,-0.392586649550706,-0.17201540436456997,0.0,PdO,6
7,0.75,$(4\sqrt{2}x\sqrt{2})R45^o-CO^{br}$,-0.40886392811296535,-0.1925545571245186,0.0,PdO,7
8,1.0,$(1x1)-CO^{br}$,-0.1790821566110398,-0.06418485237483953,0.0,PdO,8
9,0.5,$(2x2)-O^{hol}-CO^{br}$,-0.47369062901155334,-0.06418485237483953,-0.06418485237483953,PdO,9
10,0.75,$(2x2)-2O^{hol}-CO^{br}$,-0.6591848523748395,-0.06418485237483953,-0.12836970474967907,PdO,10
11,0.75,$(2x2)-O^{hol}-2CO^{br}$,-0.8575160462130937,-0.12836970474967907,-0.06418485237483953,PdO,11
12,1.0,$(2x2)-2O^{hol}-2CO^{br}$,-1.0295314505776638,-0.12836970474967907,-0.12836970474967907,PdO,12
